mp_id,nx,ny,nz,n_atoms
mp-2351210,96,96,96,4
mp-1871930,120,128,140,34
mp-1887503,120,120,180,72
mp-1840514,120,120,120,10
mp-1929781,112,108,180,10
mp-1928257,48,48,168,4
mp-1800193,80,80,80,4
mp-1777135,96,96,108,18
mp-1880168,80,80,80,4
mp-2289775,80,80,140,6
mp-1872217,108,108,108,14
mp-1805248,56,96,96,4
mp-1889973,72,192,216,40
mp-1884013,96,144,168,32
mp-1876744,96,96,128,18
mp-2703262,108,108,192,20
mp-1873735,64,160,280,24
mp-1851536,100,144,256,29
mp-1876776,96,96,96,21
mp-1830591,120,160,108,8
mp-1834673,84,84,96,10
mp-1894158,108,108,288,28
mp-1826613,140,140,140,36
mp-1870216,60,180,216,28
mp-1805798,120,120,120,10
mp-1782775,80,80,80,4
mp-2680162,120,120,120,8
mp-1785010,72,72,120,12
mp-1851338,96,192,240,84
mp-1851374,140,168,216,40
mp-1795878,108,108,108,5
mp-2248660,56,96,96,5
mp-1784587,108,108,96,7
mp-1851291,252,240,140,24
mp-1811681,96,100,128,20
mp-2263186,96,96,96,7
mp-1930551,80,80,96,14
mp-1791276,56,56,72,3
mp-1860931,108,108,108,5
mp-1924801,108,108,84,20
mp-1930768,120,120,120,8
mp-1936552,96,160,140,36
mp-1784040,84,84,84,6
mp-1787185,80,80,128,12
mp-1796169,80,80,80,4
mp-1850500,108,168,240,72
mp-1781715,96,96,96,4
mp-1804089,120,120,120,8
mp-2411644,96,96,96,12
mp-1832492,160,160,72,8
mp-1829240,72,96,96,13
mp-1920737,160,160,160,29
mp-1807097,80,112,128,22
mp-1821673,96,96,192,24
mp-2454018,128,128,72,9
mp-1936436,160,160,120,22
mp-1784953,120,120,120,6
mp-1885297,80,140,216,44
mp-1867836,64,64,140,6
mp-1841539,96,96,180,12
mp-1851143,160,168,160,100
mp-1782778,56,56,112,4
mp-1819543,64,108,252,24
mp-1821359,140,140,140,10
mp-1850978,120,160,240,64
mp-1868509,96,140,160,36
mp-1790877,48,48,100,6
mp-1842236,80,80,280,30
mp-1893318,140,128,180,44
mp-1847200,120,180,200,80
mp-1814309,120,120,84,20
mp-2281706,108,120,128,10
mp-1796084,112,112,112,4
mp-2228696,96,96,96,15
mp-2382639,168,140,120,9
mp-2299092,64,64,120,6
mp-1782197,60,60,60,5
mp-1884224,200,196,108,22
mp-1874544,168,160,140,24
mp-1848253,144,160,216,108
mp-2218705,48,48,700,13
mp-1836387,96,128,128,28
mp-1799039,80,80,80,9
mp-1896387,96,216,160,76
mp-1896847,384,80,112,56
mp-2695031,120,120,120,10
mp-1824562,160,160,80,32
mp-1933375,72,80,180,28
mp-1786068,96,96,160,14
mp-1779810,96,96,96,16
mp-1888424,160,160,160,46
mp-1801487,128,128,128,5
mp-2286384,96,96,128,6
mp-1921264,48,48,96,2
mp-1939214,56,160,240,28
mp-1784695,100,100,100,10
mp-1797072,80,80,80,4
mp-1828687,96,96,96,22
mp-1802466,80,80,80,4
mp-1874064,96,96,96,4
mp-1888660,140,140,160,20
mp-2290519,64,64,140,6
mp-1937295,100,100,252,42
mp-1897484,112,160,180,50
mp-1896347,160,160,160,4
mp-1796252,80,80,64,8
mp-1849486,180,180,180,4
mp-1927113,96,96,96,14
mp-1814526,140,80,140,40
mp-1839022,140,140,140,43
mp-1822450,56,160,192,28
mp-1788003,84,84,72,8
mp-1935933,160,160,160,4
mp-1810450,120,120,120,22
mp-1843440,120,120,96,16
mp-1798955,84,84,56,4
mp-1879156,84,108,320,56
mp-2252817,64,64,168,5
mp-1849404,252,252,64,68
mp-1803498,108,108,40,7
mp-1816467,140,140,108,30
mp-1937118,128,128,128,64
mp-1884812,128,128,128,20
mp-1878896,240,180,168,66
mp-1892285,84,168,168,24
mp-1887843,140,140,140,40
mp-2627667,56,56,160,8
mp-1783931,56,56,160,4
mp-1836472,100,100,140,14
mp-1816684,60,96,252,24
mp-1921177,100,100,100,6
mp-1802903,80,80,80,4
mp-1799519,72,72,72,4
mp-1803133,72,72,72,12
mp-2648625,72,72,72,4
mp-1899861,160,160,160,22
mp-1793055,64,64,48,3
mp-2276783,72,112,120,12
mp-1825229,96,108,180,28
mp-1892338,128,128,168,24
mp-1928231,144,144,48,20
mp-1777302,256,256,256,10
mp-2345582,96,96,96,6
mp-1901563,120,128,192,75
mp-1798558,64,64,64,5
mp-2681873,72,72,72,3
mp-1812860,112,112,160,12
mp-1863309,120,120,160,18
mp-1828256,128,60,96,19
mp-1804933,48,84,96,4
mp-1828127,56,56,280,5
mp-1828560,216,216,216,10
mp-1816701,140,140,140,18
mp-1789395,108,108,64,22
mp-1837772,60,120,192,20
mp-2488632,80,80,144,6
mp-2492971,108,108,108,10
mp-1779408,72,84,96,12
mp-2684704,64,64,320,6
mp-1805533,112,112,112,6
mp-1935723,160,96,168,38
mp-1936045,108,108,252,52
mp-1897119,128,128,216,18
mp-2509423,120,120,120,16
mp-1786496,160,160,160,12
mp-1845247,128,144,192,44
mp-2459225,140,140,72,9
mp-2275475,80,80,140,12
mp-2642069,160,160,160,6
mp-1818525,140,140,96,18
mp-1924322,216,216,216,13
mp-1843969,128,128,108,16
mp-1794175,80,80,80,5
mp-1823689,96,140,160,29
mp-2362902,120,120,120,14
mp-1924940,72,96,300,34
mp-1883605,140,140,128,28
mp-1881443,168,128,168,38
mp-1806236,120,120,120,22
mp-1841803,56,140,180,36
mp-1830177,56,56,252,8
mp-1847671,128,140,216,40
mp-2424284,112,108,108,8
mp-1846834,160,168,180,96
mp-1937985,64,140,256,24
mp-1870324,120,128,128,38
mp-1929550,108,108,108,10
mp-1928894,60,96,96,12
mp-1879858,336,84,112,64
mp-1820202,96,108,160,32
mp-1798862,96,96,96,5
mp-1872059,128,128,196,59
mp-2290724,56,56,108,5
mp-1936491,160,160,160,4
mp-2354202,80,80,144,6
mp-1792132,120,112,48,3
mp-1897687,112,112,216,36
mp-1847674,112,160,200,24
mp-1847487,180,108,180,56
mp-2701482,96,96,96,4
mp-1789693,128,128,128,12
mp-2273217,96,96,160,12
mp-1849636,168,168,128,48
mp-2658523,64,64,64,4
mp-1892263,140,108,144,40
mp-1822473,96,96,224,30
mp-1931204,84,84,84,5
mp-1823071,96,96,216,30
mp-2426166,128,128,128,7
mp-1783099,64,64,64,3
mp-2615972,140,140,72,9
mp-1809916,80,120,140,20
mp-1882988,64,72,168,24
mp-1798274,72,72,72,4
mp-2684021,140,140,108,12
mp-1922241,96,96,96,4
mp-1938879,84,84,84,7
mp-1889360,144,144,144,43
mp-1781495,80,80,80,4
mp-1875576,160,120,160,42
mp-1786166,60,60,120,8
mp-1875487,144,96,180,40
mp-1893381,128,128,128,64
mp-1886927,160,160,120,50
mp-2454023,64,72,72,2
mp-1933408,72,72,120,6
mp-1834661,112,112,60,9
mp-1817245,360,360,72,14
mp-1800397,72,72,72,4
mp-1936141,120,120,168,36
mp-1786065,60,96,108,16
mp-1804662,64,64,96,7
mp-1883403,96,144,160,56
mp-1823138,160,160,224,21
mp-2454254,80,80,144,6
mp-2351711,80,80,80,4
mp-1885499,140,84,216,68
mp-2695007,60,60,72,4
mp-1923360,56,96,180,24
mp-2299517,64,64,96,5
mp-1838492,100,100,120,16
mp-1819206,140,140,100,16
mp-1801351,84,84,84,5
mp-1786271,112,80,80,20
mp-1818254,144,144,84,26
mp-1836693,140,140,80,26
mp-1823317,96,160,160,23
mp-1818297,96,100,192,26
mp-1794963,60,60,60,5
mp-1894546,120,168,168,24
mp-1832177,80,96,108,14
mp-1824676,96,120,160,24
mp-1827662,96,96,96,8
mp-1885602,128,128,160,49
mp-1873824,72,140,224,14
mp-1923545,80,96,128,20
mp-1803418,72,72,72,4
mp-1894437,108,144,200,78
mp-2285194,72,72,128,10
mp-1935267,48,72,160,16
mp-1848897,120,120,300,28
mp-1921541,160,96,140,38
mp-1883224,96,140,160,32
mp-1779604,80,80,80,6
mp-1831751,108,108,72,8
mp-1794064,48,48,72,4
mp-2654573,72,72,72,4
mp-1795944,64,72,84,8
mp-1937186,140,140,140,40
mp-2666860,80,192,320,24
mp-2681081,128,128,80,9
mp-1875387,108,112,160,20
mp-1820977,96,96,200,16
mp-1898064,96,160,216,24
mp-1806879,112,112,112,14
mp-1839923,100,100,160,18
mp-1851253,112,112,320,88
mp-1932641,60,60,84,6
mp-1789720,56,56,180,10
mp-1786151,72,80,108,20
mp-1830298,72,96,96,13
mp-1777238,108,108,84,15
mp-1868784,64,96,64,4
mp-1895526,80,140,280,56
mp-1828363,100,100,100,10
mp-1929586,60,60,160,9
mp-1825807,108,108,216,34
mp-1809291,160,160,112,10
mp-1816146,108,108,160,28
mp-1799746,72,72,72,4
mp-1823845,84,128,168,32
mp-1881933,96,96,96,4
mp-2707326,140,140,140,22
mp-1785377,96,96,96,15
mp-1846837,168,168,168,40
mp-1819751,160,160,108,18
mp-1939343,192,192,56,39
mp-1843292,100,112,120,32
mp-1794619,48,60,80,8
mp-1871495,80,80,112,12
mp-1831887,96,96,96,4
mp-1933024,120,120,60,5
mp-1801212,72,72,56,3
mp-1841555,80,128,140,26
mp-1804361,56,56,140,4
mp-1815605,96,120,180,14
mp-1800640,72,72,72,4
mp-1934646,56,56,756,22
mp-1935560,96,96,72,8
mp-1851347,160,160,168,109
mp-1781938,96,96,96,5
mp-1883309,108,108,160,64
mp-2278965,56,56,140,6
mp-2292714,60,60,140,6
mp-1842388,120,120,96,24
mp-1812264,96,96,128,28
mp-1796595,72,72,72,4
mp-1822355,192,192,84,28
mp-2616349,108,108,108,4
mp-1788988,96,96,96,10
mp-1787741,72,72,128,16
mp-1897158,192,192,96,21
mp-1778001,56,96,180,14
mp-2299012,64,64,160,5
mp-1886506,140,140,120,39
mp-1840243,120,72,160,24
mp-1939316,56,96,120,12
mp-1880195,160,160,96,23
mp-1870303,84,180,192,48
mp-1819812,128,128,96,18
mp-1893954,128,128,128,45
mp-1920895,120,140,192,56
mp-2486371,84,84,84,4
mp-1803078,84,84,84,4
mp-2279631,56,96,96,7
mp-1877161,216,216,216,40
mp-1803055,100,100,100,5
mp-1838942,108,80,140,22
mp-1844899,180,180,180,56
mp-1835532,96,96,96,20
mp-1930850,160,160,48,10
mp-2294938,48,80,80,6
mp-1774765,128,128,128,14
mp-1830628,96,96,96,10
mp-1886414,112,112,240,47
mp-1879985,60,192,196,28
mp-1798851,72,72,72,12
mp-1885766,80,180,180,40
mp-1826240,60,140,216,20
mp-1798902,80,80,80,4
mp-1893995,160,160,160,4
mp-1783252,64,64,64,2
mp-1877456,96,96,96,10
mp-2683069,112,112,112,6
mp-1778449,100,100,100,12
mp-1813206,112,112,112,21
mp-1921927,160,160,160,18
mp-1801868,80,80,80,4
mp-1786852,120,64,108,10
mp-2242041,56,180,56,7
mp-1875047,160,160,240,35
mp-1823638,144,144,80,44
mp-1805920,112,112,112,22
mp-1810389,140,140,72,32
mp-1808611,96,96,120,20
mp-1779915,96,96,64,8
mp-1846731,140,160,180,48
mp-2422721,72,72,112,6
mp-1869732,192,192,192,18
mp-1825687,108,120,128,34
mp-2684285,80,80,80,4
mp-1890126,120,120,180,44
mp-1796138,60,60,108,8
mp-2234375,96,96,128,20
mp-1820187,128,128,100,8
mp-1781785,60,60,96,4
mp-1880036,160,160,160,46
mp-1872014,140,140,128,40
mp-1937354,160,160,108,44
mp-1893281,60,216,216,38
mp-1870580,60,72,112,6
mp-1832959,64,72,180,8
mp-1817594,120,120,120,38
mp-1826481,144,144,96,18
mp-1789896,112,112,56,10
mp-1823191,144,144,108,28
mp-1832064,96,96,80,8
mp-1776519,80,96,120,18
mp-1782291,48,48,48,2
mp-1927075,84,84,84,4
mp-1810136,120,120,120,10
mp-2299478,80,80,80,6
mp-1809260,120,120,120,10
mp-2642267,168,168,168,16
mp-1896933,168,168,168,4
mp-1937124,96,96,252,28
mp-1850829,192,192,180,24
mp-1874866,144,144,96,32
mp-1865323,128,128,128,38
mp-1799092,72,72,72,4
mp-2356321,72,72,72,4
mp-1808083,108,108,108,15
mp-1792184,60,60,60,5
mp-2289587,64,64,96,5
mp-1777433,96,72,144,24
mp-1831712,80,80,120,13
mp-1846636,80,192,216,53
mp-1928275,160,160,80,36
mp-1897235,108,168,180,56
mp-1813756,120,120,120,10
mp-2390504,96,96,112,8
mp-2288060,72,96,96,6
mp-2459039,96,96,160,16
mp-2677893,120,120,120,5
mp-1799704,96,96,96,5
mp-2656879,120,120,120,5
mp-1843316,96,96,160,16
mp-1921870,108,108,108,10
mp-1793416,64,64,64,4
mp-1798080,72,72,72,4
mp-1812497,112,112,112,20
mp-1803081,100,100,100,5
mp-2619683,140,128,72,9
mp-2241380,84,112,160,17
mp-1776908,128,64,108,19
mp-2229679,96,108,160,17
mp-1803035,80,80,80,4
mp-1938857,96,96,96,9
mp-1817563,96,100,180,36
mp-1778146,72,72,180,18
mp-1826434,96,96,224,24
mp-1849210,180,180,180,4
mp-1931173,160,160,96,24
mp-2452766,72,72,60,2
mp-2619362,96,96,96,10
mp-1924501,96,96,160,20
mp-1824594,128,128,168,52
mp-1890241,140,140,140,10
mp-1869353,120,60,360,64
mp-1928379,160,160,96,26
mp-1933344,108,100,80,20
mp-1821920,120,120,140,30
mp-1867760,80,80,60,6
mp-2221688,96,96,140,19
mp-1934759,96,96,56,14
mp-1871090,168,168,96,54
mp-1847830,168,168,280,66
mp-1931101,96,84,144,20
mp-1814531,100,100,160,16
mp-2293998,64,64,96,5
mp-2218176,84,84,140,12
mp-2453208,96,96,96,4
mp-1808677,120,120,120,10
mp-1888047,160,160,160,4
mp-1824568,120,120,112,20
mp-1802313,72,72,72,4
mp-1803783,84,84,84,10
mp-1902456,96,160,280,60
mp-1808898,96,72,160,28
mp-1897777,192,192,192,50
mp-1808203,112,112,80,24
mp-1815240,112,112,140,28
mp-2683792,128,128,128,18
mp-1829493,140,140,96,6
mp-1783336,72,72,72,4
mp-1838055,120,120,120,15
mp-2684770,128,128,128,12
mp-1847923,168,140,160,68
mp-1782047,56,56,84,2
mp-1848137,160,160,252,40
mp-1826418,128,128,128,29
mp-1775679,120,120,140,22
mp-1920231,128,128,224,72
mp-2660980,140,140,96,16
mp-1877990,120,128,216,40
mp-2278526,64,64,128,8
mp-1894452,140,140,192,72
mp-1934558,80,80,160,24
mp-1871225,96,160,216,56
mp-1928392,96,96,80,8
mp-1782218,72,72,72,4
mp-1808323,120,120,120,26
mp-1820417,112,112,180,24
mp-1804552,80,80,80,4
mp-1840614,120,120,120,28
mp-1839243,60,120,168,16
mp-1937142,140,140,140,32
mp-1864233,60,60,216,5
