step,train_loss,tok_s,mfu
0,8.830310821533203,177650.61470551346,1.1505183276827782
1,8.829010009765625,265347.61945705325,1.7184702676002643
7,8.764287948608398,1298455.7743930102,8.409186585709739
8,8.745777130126953,1299972.1205635318,8.419006895440658
9,8.72843074798584,1300211.638343118,8.420558083966949
11,8.69456672668457,1299762.7135644273,8.41765071330296
16,8.607258796691895,1300149.1511406908,8.420153398220394
27,8.423206329345703,1295178.1847678528,8.387959938446977
28,8.404464721679688,1297988.8845157123,8.406162867712863
33,8.308696746826172,1297690.9139529949,8.404233121541793
41,8.132719039916992,1296499.9143901758,8.3965198534084
43,8.085370063781738,1297062.6341192236,8.400164194086262
44,8.055002212524414,1297239.8681205753,8.401312014301697
46,7.994597911834717,1295732.8805325758,8.391552313540414
47,7.966344356536865,1296470.9713001351,8.396332409331123
48,7.920294284820557,1297612.5544430872,8.403725642001422
52,7.791526794433594,1296701.4722242767,8.397825202014179
58,7.562475681304932,1297022.7731699212,8.399906042698452
60,7.4964118003845215,1298174.598891366,8.407365609359765
61,7.438564300537109,1296248.978591052,8.394894718384565
64,7.303133487701416,1253000.589702292,8.114805262225053
67,7.16315221786499,1297779.4300689313,8.404806378289871
73,6.822747707366943,1275921.6112669033,8.263248629240765
74,6.778587818145752,1267608.6051929025,8.209411124303726
77,6.607147216796875,1254116.5012546212,8.122032238023339
78,6.538150310516357,1296717.4797708564,8.397928871656703
85,6.173234939575195,1291851.6929651245,8.366416586107501
88,6.044111728668213,1297241.067764312,8.401319783552076
94,5.765316486358643,1296560.5964014258,8.396912848198873
99,5.529082775115967,1297305.6551995636,8.401738071032355
102,5.355208873748779,1297349.2157272976,8.402020181992706
104,5.292133808135986,1299013.7790131504,8.412800389937026
106,5.215975761413574,1296693.55719377,8.397773941917627
109,5.1241984367370605,1297382.8435534546,8.40223796581731
112,5.0044989585876465,1297192.8454423696,8.401007481423035
119,4.756715297698975,1297998.8213936177,8.406227221895758
120,4.813414096832275,1300082.486207644,8.419721656245219
122,4.725203037261963,1298022.0232983038,8.406377484345583
124,4.669967174530029,1296162.4880181074,8.394334579656594
133,4.461885452270508,1297276.0253113552,8.40154617904545
136,4.363076686859131,1297247.810685539,8.401363452719597
143,4.2154154777526855,1296254.6551963924,8.394931481772602
147,4.146999359130859,1297049.6543741846,8.400080133388913
149,4.105501651763916,1296548.352132865,8.396833550666404
150,4.090517997741699,1299399.6127073497,8.415299163934229
153,3.9976673126220703,1297835.2923816957,8.405168159276492
155,3.9804680347442627,1296600.9780749206,8.397174371951747
157,3.980759382247925,1296906.9584851095,8.399155992282294
161,3.9914305210113525,1296392.230930998,8.395822463232872
162,3.9651334285736084,1297015.3932669584,8.399858248247364
167,3.9227023124694824,1297168.5514868344,8.400850146526437
170,3.8524410724639893,1297749.3906539371,8.404611834085445
172,3.820404529571533,1295430.190484405,8.389592002574954
174,3.809032678604126,1297637.0593410842,8.403884343024274
180,3.7508137226104736,1299645.2637701742,8.416890073430734
182,3.723210334777832,1297688.390948927,8.404216781815496
193,3.61425518989563,1296220.9880852422,8.394713443526674
195,3.5911436080932617,1295582.0532874784,8.39057551134873
198,3.571629524230957,1295447.7686989855,8.389705844331576
201,3.5278825759887695,1294979.8077603797,8.386675189822453
203,3.5493712425231934,1297357.0167718618,8.402070703882321
213,3.466747760772705,1296302.2549076106,8.395239751689033
214,3.5123069286346436,1297788.4835250687,8.4048650111701
215,3.485671043395996,1297575.813282702,8.403487695296462
217,3.4765405654907227,1297792.0252733766,8.404887948587723
225,3.4708120822906494,1298081.4120628594,8.406762103685027
228,3.4802770614624023,1297636.172909215,8.403878602227296
233,3.3975625038146973,1295328.3451352129,8.388932421739678
234,3.398219585418701,1297085.1976736235,8.400310322389378
236,3.338852643966675,1296815.6111005596,8.398564399394846
238,3.3560779094696045,1296361.2628261677,8.395621904556283
240,3.3743581771850586,1300267.5417502008,8.420920131092625
241,3.3548545837402344,1297836.1164381444,8.405173496111656
242,3.358388662338257,1297238.39645379,8.401302483348982
247,3.367581367492676,1297021.4463855128,8.39989745004719
248,3.3876724243164062,1295278.318477994,8.388608434197623
251,3.4127323627471924,1297775.9614714996,8.404783914619127
259,3.2650537490844727,1299029.02617457,8.41289913509863
261,3.2818546295166016,1296718.603080071,8.397936146541968
265,3.269129514694214,1298054.3836280399,8.406587059485602
269,3.2346787452697754,1297422.5653027904,8.402495215704647
270,3.246279239654541,1300262.6732079925,8.420888600962268
272,3.279582977294922,1296278.7771172894,8.39508770252161
273,3.2596728801727295,1296165.8991284156,8.394356671023594
274,3.246554136276245,1296473.0928358715,8.396346149028851
279,3.251887083053589,1298419.177598234,8.408949573959488
282,3.2586042881011963,1296063.5175542298,8.393693617435444
283,3.252488851547241,1297231.3350670703,8.401256751704013
292,3.229173183441162,1296089.838351536,8.39386407876343
302,3.2110848426818848,1297045.934577928,8.400056042879712
311,3.201385974884033,1295484.8479969897,8.389945980916536
316,3.2002739906311035,1297744.4060364987,8.404579552217301
